query_id,retrieval_strategy,alpha,top_k,recall_at_k
INT2-Q-MARKET-EDGE,hybrid,1.0,3,1.0
INT2-Q-MARKET-EDGE,hybrid,1.0,5,1.0
INT2-Q-TAX-GUIDE,no_retrieval,,1,0.0
INT2-Q-TAX-GUIDE,no_retrieval,,2,0.0
INT2-Q-TAX-GUIDE,no_retrieval,,3,0.0
INT2-Q-TAX-GUIDE,no_retrieval,,5,0.0
INT2-Q-TAX-GUIDE,lexical_only,,1,0.5
INT2-Q-TAX-GUIDE,lexical_only,,2,1.0
INT2-Q-TAX-GUIDE,lexical_only,,3,1.0
INT2-Q-TAX-GUIDE,lexical_only,,5,1.0
INT2-Q-TAX-GUIDE,semantic_only,,1,0.5
INT2-Q-TAX-GUIDE,semantic_only,,2,0.5
INT2-Q-TAX-GUIDE,semantic_only,,3,1.0
INT2-Q-TAX-GUIDE,semantic_only,,5,1.0
INT2-Q-TAX-GUIDE,hybrid,0.0,1,0.5
INT2-Q-TAX-GUIDE,hybrid,0.0,2,0.5
INT2-Q-TAX-GUIDE,hybrid,0.0,3,1.0
INT2-Q-TAX-GUIDE,hybrid,0.0,5,1.0
INT2-Q-TAX-GUIDE,hybrid,0.25,1,0.5
INT2-Q-TAX-GUIDE,hybrid,0.25,2,1.0
INT2-Q-TAX-GUIDE,hybrid,0.25,3,1.0
INT2-Q-TAX-GUIDE,hybrid,0.25,5,1.0
INT2-Q-TAX-GUIDE,hybrid,0.5,1,0.5
INT2-Q-TAX-GUIDE,hybrid,0.5,2,1.0
INT2-Q-TAX-GUIDE,hybrid,0.5,3,1.0
INT2-Q-TAX-GUIDE,hybrid,0.5,5,1.0
INT2-Q-TAX-GUIDE,hybrid,0.75,1,0.5
INT2-Q-TAX-GUIDE,hybrid,0.75,2,1.0
INT2-Q-TAX-GUIDE,hybrid,0.75,3,1.0
INT2-Q-TAX-GUIDE,hybrid,0.75,5,1.0
INT2-Q-TAX-GUIDE,hybrid,1.0,1,0.5
INT2-Q-TAX-GUIDE,hybrid,1.0,2,1.0
INT2-Q-TAX-GUIDE,hybrid,1.0,3,1.0
INT2-Q-TAX-GUIDE,hybrid,1.0,5,1.0
INT2-Q-FLEXI,no_retrieval,,1,0.0
INT2-Q-FLEXI,no_retrieval,,2,0.0
INT2-Q-FLEXI,no_retrieval,,3,0.0
INT2-Q-FLEXI,no_retrieval,,5,0.0
INT2-Q-FLEXI,lexical_only,,1,0.5
INT2-Q-FLEXI,lexical_only,,2,1.0
INT2-Q-FLEXI,lexical_only,,3,1.0
INT2-Q-FLEXI,lexical_only,,5,1.0
INT2-Q-FLEXI,semantic_only,,1,0.5
INT2-Q-FLEXI,semantic_only,,2,1.0
INT2-Q-FLEXI,semantic_only,,3,1.0
INT2-Q-FLEXI,semantic_only,,5,1.0
INT2-Q-FLEXI,hybrid,0.0,1,0.5
INT2-Q-FLEXI,hybrid,0.0,2,1.0
INT2-Q-FLEXI,hybrid,0.0,3,1.0
INT2-Q-FLEXI,hybrid,0.0,5,1.0
INT2-Q-FLEXI,hybrid,0.25,1,0.5
INT2-Q-FLEXI,hybrid,0.25,2,1.0
INT2-Q-FLEXI,hybrid,0.25,3,1.0
INT2-Q-FLEXI,hybrid,0.25,5,1.0
INT2-Q-FLEXI,hybrid,0.5,1,0.5
INT2-Q-FLEXI,hybrid,0.5,2,1.0
INT2-Q-FLEXI,hybrid,0.5,3,1.0
INT2-Q-FLEXI,hybrid,0.5,5,1.0
INT2-Q-FLEXI,hybrid,0.75,1,0.5
INT2-Q-FLEXI,hybrid,0.75,2,1.0
INT2-Q-FLEXI,hybrid,0.75,3,1.0
INT2-Q-FLEXI,hybrid,0.75,5,1.0
INT2-Q-FLEXI,hybrid,1.0,1,0.5
INT2-Q-FLEXI,hybrid,1.0,2,1.0
INT2-Q-FLEXI,hybrid,1.0,3,1.0
INT2-Q-FLEXI,hybrid,1.0,5,1.0
